id,registration,make,model,primaryColour,fuelType
33759427,BO55DRL,"ASTON MARTIN",VANTAGE,Grey,Petrol
33803385,BO55RPO,TOYOTA,IQ,Black,Petrol
33943794,BO55HRV,AUDI,TT,Black,Diesel
34029839,BO55DOV,MERCEDES-BENZ,VITO,Black,Diesel
34064667,BO55RGG,FORD,TRANSIT,White,Diesel
34074878,BO55CAC,VOLKSWAGEN,CADDY,White,Diesel
34349092,BO55TMW,MITSUBISHI,L200,Black,Diesel
34845942,BO55AFR,SEAT,TOLEDO,Black,Diesel
34862943,BO55MAV,VOLKSWAGEN,GOLF,Blue,Diesel
34888966,BO55LFO,TESLA,"MODEL S",Silver,Electric
34915105,BO55ZAM,ZHENHUA,"ZH A 50",Red,Petrol
35080716,BO55DMY,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
35124301,BO55CGO,PORSCHE,911,Silver,Petrol
35127138,BO55RJN,HONDA,CBR600F,Red,Petrol
35154333,BO55BEK,BMW,X5,Black,Diesel
35263173,BO55TKK,MERCEDES-BENZ,E,White,Diesel
35445022,BO55XSY,AUDI,Q7,Grey,Diesel
35486901,BO55HYB,TOYOTA,IQ,White,Petrol
35537860,BO55TSA,AUDI,RS4,Grey,Petrol
35553342,BO55PTR,AUDI,TT,Black,Petrol
35562246,BO55NDB,VOLKSWAGEN,CADDY,Blue,Diesel
35585231,BO55VAJ,VAUXHALL,INSIGNIA,White,Diesel
35625217,BO55VWT,VOLKSWAGEN,TRANSPORTER,Pink,Diesel
35911305,BO55TRU,FORD,RANGER,Black,Diesel
35990500,BO55VMT,BENTLEY,BENTAYGA,Black,Petrol
36071059,BO55TFS,NISSAN,NV400,White,Diesel
36145865,BO55UTV,FORD,FOCUS,Blue,Petrol
36180507,BO55AUH,MASERATI,"GRANCABRIO AUTO",Grey,Petrol
36183784,BO55REY,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
36321500,BO55ROC,FORD,RANGER,Black,Diesel
36348321,BO55MMB,FORD,TRANSIT,White,Diesel
36379618,BO55KYZ,BMW,"3 SERIES",Black,Diesel
36431742,BO55PGO,AUDI,"Q7 S LN COMP VOR 60 TFSI E Q A",White,"Hybrid Electric (Clean)"
36610380,BO55OZD,TESLA,"MODEL 3 PERFORMANCE AWD",White,Electric
36699109,BO55HEW,MERCEDES-BENZ,GL,Black,Diesel
36723051,BO55GBX,CHRYSLER-JEEP,300,Grey,Diesel
36738310,BO55FFE,MAZDA,MX-5,Black,Petrol
36756540,BO55RHP,MERCEDES-BENZ,SLK,Blue,Petrol
36775551,BO55XRY,"LAND ROVER","RANGE ROVER",Grey,Diesel
36950912,BO55DKJ,PORSCHE,macan,Blue,Diesel
36988426,BO55NLF,"LAND ROVER","RANGE ROVER",Grey,Diesel
37001524,BO55LBE,PORSCHE,macan,Black,Diesel
37013044,BO55WFF,FORD,RANGER,White,Diesel
37053325,BO55LZC,VOLKSWAGEN,"TIGUAN R-LINE TSI S-A",Black,Petrol
37071741,BO55MTO,AUDI,A4,Black,Diesel
37199955,BO55RWM,BENTLEY,CONTINENTAL,White,Petrol
37243189,BO55NKK,AUDI,Q5,Black,Diesel
37378999,BO55XSP,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
37402080,BO55ATO,"ALFA ROMEO","STELVIO VELOCE TD AWD AUTO",Grey,Diesel
37688513,BO55KDS,VOLKSWAGEN,CADDY,Grey,Diesel
37695644,BO55WDM,TOYOTA,AURIS,Grey,Diesel
37698145,BO55DWJ,TOYOTA,AURIS,Silver,Petrol
37804731,BO55ZXT,KAWASAKI,"ZX 1400 D8F ABS",Orange,Petrol
37836758,BO55MBW,FORD,C-MAX,Blue,Diesel
37853883,BO55MFT,VOLKSWAGEN,TOUAREG,Blue,Diesel
38273370,BO55USM,MERCEDES-BENZ,C,Black,Diesel
38559936,BO55SYR,"LAND ROVER","RANGE ROVER SPORT",Silver,Diesel
38566136,BO55WKO,"LAND ROVER","DISCOVERY HSE D MHEV AUTO",Black,Diesel
38603832,BO55APN,MINI,"MINI (R60)",White,Petrol
38718837,BO55TJH,BENTLEY,CONTINENTAL,Blue,Petrol
38790322,BO55TRC,"LAND ROVER","RANGE ROVER SPORT",Silver,Diesel
38790855,BO55SUF,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
38953209,BO55NCS,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
39009218,BO55XPP,"LAND ROVER",DISCOVERY,Black,Diesel
39013595,BO55RTS,"LAND ROVER",DISCOVERY,Black,Diesel
39026515,BO55VYA,VOLKSWAGEN,GOLF,Grey,Diesel
39034537,BO55BZY,VOLKSWAGEN,GOLF,Blue,Diesel
39043909,BO55EDV,AUDI,A5,Black,Petrol
