registration,make,model,primaryColour,fuelType
BO55LOT,MERCEDES-BENZ,"AMG GLE 53 NGT ED PRM+MHEV 4MA",Black,"Hybrid Electric (Clean)"
BO55NGN,"LAND ROVER","RANGE ROVER",Grey,Petrol
BO55DVS,"LAND ROVER","RANGE ROVER",Green,Diesel
BO55CSY,BMW,"X1 SDRIVE 20I XLINE MHEV AUTO",Silver,"Hybrid Electric (Clean)"
BO55MSY,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55ANC,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55AWX,"LAND ROVER","RANGE ROVER",Black,Diesel
BO55BAY,DUCATI,"1098 R TROY BAYLISS",Multi-colour,Petrol
BO55BBO,NISSAN,NAVARA,Grey,Diesel
BO55BBR,BMW,"3 SERIES",Grey,Diesel
BO55BFR,"LAND ROVER","DEFENDER HARD TOP HSE D MHEV A",Black,Diesel
BO55BHW,TOYOTA,RAV4,Blue,"Hybrid Electric (Clean)"
BO55BKR,FORD,"TRANSIT CUSTOM 320LIMITD EBLUE",Black,Diesel
BO55BKS,VAUXHALL,ASTRA,Red,Petrol
BO55BNJ,MERCEDES-BENZ,"GLC 300 AMG LNE PREM + DE 4M A",Black,"Electric Diesel"
BO55BTO,MASERATI,GHIBLI,Blue,Diesel
BO55BUR,"DIRECT BIKES","",Black,Petrol
BO55BUY,FORD,MONDEO,Silver,Diesel
BO55CGA,MERCEDES-BENZ,A,White,Petrol
BO55CHN,AUDI,A5,Black,Diesel
BO55CMA,BENTLEY,"FLYING SPUR",Grey,Petrol
BO55CPL,FORD,MUSTANG,Blue,Petrol
BO55CPU,HYUNDAI,"TUCSON ULTIMATE TGDI PHEV 4X4A",Green,"Hybrid Electric (Clean)"
BO55CSD,NISSAN,UNKNOWN,Black,Petrol
BO55CSJ,SUZUKI,SX4,Black,Petrol
BO55DCJ,BMW,"F 900 R",White,Petrol
BO55DEH,MERCEDES-BENZ,A-CLASS,Black,Petrol
BO55DGZ,CITROEN,DISPATCH,Black,Diesel
BO55DHN,MERCEDES-BENZ,GLA,Grey,Diesel
BO55DJZ,TOYOTA,HILUX,Blue,Diesel
BO55DMB,BMW,X6,Grey,Diesel
BO55DNH,BMW,X6,Grey,Diesel
